Unnamed: 0,Ano,Mandante,Visitante,Placar,Data,Hora,Estádio,Cidade,Jogo,Rodada,Temperatura (°C),Umidade (%),Precipitação (mm),Vento (km/h)
0,2021,Flamengo - RJ,Palmeiras - SP,1 x 0,30/05/2021,16:00,Maracanã,Rio de Janeiro,1,1,22.3,93,0.0,1.8
1,2021,Corinthians - SP,Atlético - GO,0 x 1,30/05/2021,18:15,Neo Química Arena,Sao Paulo,2,1,18.4,93,0.0,2.9
2,2021,São Paulo - SP,Fluminense - RJ,0 x 0,29/05/2021,21:00,Morumbi,Sao Paulo,3,1,18.4,93,0.0,2.9
3,2021,Atlético Mineiro - MG,Fortaleza - CE,1 x 2,30/05/2021,11:00,Mineirão,Belo Horizonte,4,1,20.5,74,0.0,3.1
4,2021,Internacional - RS,Sport - PE,2 x 2,30/05/2021,20:30,Beira-Rio,Porto Alegre,5,1,21.1,87,0.0,15.1
5,2021,Ceará - CE,Grêmio - RS,3 x 2,30/05/2021,16:00,Arena Castelão,Fortaleza,6,1,26.6,89,0.8,7.2
6,2021,Esporte Clube Bahia - BA,Santos Fc - SP,3 x 0,29/05/2021,20:00,Pituaçu,Salvador,7,1,27.3,83,0.2,4.3
7,2021,Athletico Paranaense - PR,America - MG,1 x 0,30/05/2021,18:15,Ligga Arena,Curitiba,8,1,16.1,97,0.0,7.9
8,2021,Chapecoense - SC,Red Bull Bragantino - SP,0 x 3,30/05/2021,18:15,Arena Condá,Chapeco,9,1,16.3,85,0.0,5.2
9,2021,Cuiabá Saf - MT,Juventude - RS,2 x 2,29/05/2021,19:00,Arena Pantanal,Cuiaba,10,1,25.9,85,0.8,2.5
10,2021,Fluminense - RJ,Cuiabá Saf - MT,1 x 0,06/06/2021,11:00,São Januário,Rio de Janeiro,11,2,22.3,93,0.0,1.8
11,2021,Palmeiras - SP,Chapecoense - SC,3 x 1,06/06/2021,18:15,Allianz Parque,Sao Paulo,12,2,18.4,93,0.0,2.9
12,2021,Santos Fc - SP,Ceará - CE,3 x 1,05/06/2021,21:00,Vila Belmiro,Santos,13,2,22.8,91,0.1,2.4
13,2021,America - MG,Corinthians - SP,0 x 1,06/06/2021,16:00,Independência,Belo Horizonte,14,2,20.5,74,0.0,3.1
14,2021,Grêmio - RS,Flamengo - RJ,2 x 2,23/11/2021,21:00,Arena do Grêmio,Porto Alegre,15,2,21.1,87,0.0,15.1
15,2021,Fortaleza - CE,Internacional - RS,5 x 1,06/06/2021,16:00,Arena Castelão,Fortaleza,16,2,26.6,89,0.8,7.2
16,2021,Sport - PE,Atlético Mineiro - MG,0 x 1,06/06/2021,20:30,Ilha do Retiro,Recife,17,2,27.6,85,0.1,7.8
17,2021,Red Bull Bragantino - SP,Esporte Clube Bahia - BA,3 x 3,05/06/2021,21:00,Nabi Abi Chedid,Braganca Paulista,18,2,17.4,93,0.0,3.7
18,2021,Juventude - RS,Athletico Paranaense - PR,0 x 3,06/06/2021,18:15,Alfredo Jaconi,Caxias do Sul,19,2,16.2,90,0.0,9.7
19,2021,Atlético - GO,São Paulo - SP,2 x 0,05/06/2021,19:00,Antônio Accioly,Goiania,20,2,23.6,77,0.0,1.1
20,2021,Flamengo - RJ,America - MG,2 x 0,13/06/2021,16:00,Maracanã,Rio de Janeiro,21,3,22.3,93,0.0,1.8
21,2021,Palmeiras - SP,Corinthians - SP,1 x 1,12/06/2021,19:00,Allianz Parque,Sao Paulo,22,3,18.4,93,0.0,2.9
22,2021,Santos Fc - SP,Juventude - RS,0 x 0,12/06/2021,19:00,Vila Belmiro,Santos,23,3,22.8,91,0.1,2.4
23,2021,Atlético Mineiro - MG,São Paulo - SP,1 x 0,13/06/2021,16:00,Mineirão,Belo Horizonte,24,3,20.5,74,0.0,3.1
24,2021,Grêmio - RS,Athletico Paranaense - PR,0 x 1,13/06/2021,16:00,Arena do Grêmio,Porto Alegre,25,3,21.1,87,0.0,15.1
25,2021,Fortaleza - CE,Sport - PE,1 x 0,13/06/2021,20:30,Arena Castelão,Fortaleza,26,3,26.6,89,0.8,7.2
26,2021,Esporte Clube Bahia - BA,Internacional - RS,0 x 1,13/06/2021,20:30,Pituaçu,Salvador,27,3,27.3,83,0.2,4.3
27,2021,Red Bull Bragantino - SP,Fluminense - RJ,2 x 2,13/06/2021,20:30,Nabi Abi Chedid,Braganca Paulista,28,3,17.4,93,0.0,3.7
28,2021,Chapecoense - SC,Ceará - CE,0 x 0,13/06/2021,20:30,Arena Condá,Chapeco,29,3,16.3,85,0.0,5.2
29,2021,Cuiabá Saf - MT,Atlético - GO,2 x 1,21/07/2021,19:00,Arena Pantanal,Cuiaba,30,3,25.9,85,0.8,2.5
30,2021,Fluminense - RJ,Santos Fc - SP,1 x 0,17/06/2021,19:00,Maracanã,Rio de Janeiro,31,4,22.3,93,0.0,1.8
31,2021,Corinthians - SP,Red Bull Bragantino - SP,1 x 2,16/06/2021,20:30,Neo Química Arena,Sao Paulo,32,4,18.4,93,0.0,2.9
32,2021,São Paulo - SP,Chapecoense - SC,1 x 1,16/06/2021,19:00,Morumbi,Sao Paulo,33,4,18.4,93,0.0,2.9
